,time,Sales,Year_on_year
0,[],[],[]
1,['2024-11'],['2438092'],['17.38%']
2,['2024-10'],['2271670'],['11.77%']
3,['2024-09'],['2116925'],['4.83%']
4,['2024-08'],['1913002'],['-0.49%']
5,['2024-07'],['1725174'],['-3.17%']
6,['2024-06'],['1769462'],['-6.59%']
7,['2024-05'],['1716443'],['1.81%']
8,['2024-04'],['1541842'],['-5.76%']
9,['2024-03'],['1691118'],['6.13%']
10,['2024-02'],['1111541'],['-20.41%']
11,['2024-01'],['2034527'],['57.09%']
12,['2023-12'],['2360143'],['7.73%']
13,['2023-11'],['2077155'],['3.47%']
14,['2023-10'],['2032470'],['-6.44%']
15,['2023-09'],['2019445'],['-11.25%']
16,['2023-08'],['1922495'],['-13.39%']
17,['2023-07'],['1781580'],['-16.2%']
18,['2023-06'],['1894250'],['-12.54%']
19,['2023-05'],['1685966'],['6.91%']
20,['2023-04'],['1635995'],['73.57%']
21,['2023-03'],['1593454'],['-12.44%']
22,['2023-02'],['1396501'],['-3.78%']
23,['2023-01'],['1295097'],['-39.48%']
24,['2022-12'],['2190865'],['-8.66%']
25,['2022-11'],['2007402'],['-7.73%']
26,['2022-10'],['2172374'],['9.15%']
27,['2022-09'],['2275494'],['30.96%']
28,['2022-08'],['2219832'],['43.78%']
29,['2022-07'],['2125896'],['37.73%']
30,['2022-06'],['2165958'],['39.42%']
31,['2022-05'],['1577056'],['-3.96%']
32,['2022-04'],['942539'],['-46.04%']
33,['2022-03'],['1819813'],['-4.94%']
34,['2022-02'],['1451381'],['26.41%']
35,['2022-01'],['2140050'],['-9.26%']
36,['2021-12'],['2398523'],['4.93%']
37,['2021-11'],['2175564'],['3.67%']
38,['2021-10'],['1990339'],['-13.48%']
39,['2021-09'],['1737510'],['-16.3%']
40,['2021-08'],['1543903'],['-12.01%']
41,['2021-07'],['1543474'],['-7.29%']
42,['2021-06'],['1553528'],['-9.71%']
43,['2021-05'],['1642018'],['-1.9%']
44,['2021-04'],['1746754'],['13.68%']
45,['2021-03'],['1914414'],['84.16%']
46,['2021-02'],['1148130'],['100%']
47,['2021-01'],['2358372'],['39.01%']
48,['2020-12'],['2285751'],['3.28%']
49,['2020-11'],['2098448'],['2.03%']
50,['2020-10'],['2300447'],['19.34%']
51,[],[],[]
52,['2020-09'],['2075889'],['7.52%']
53,['2020-08'],['1754600'],['6.15%']
54,['2020-07'],['1664826'],['8.96%']
55,['2020-06'],['1720593'],['-0.42%']
56,['2020-05'],['1673900'],['7.22%']
57,['2020-04'],['1536600'],['-2.43%']
58,['2020-03'],['1039532'],['-48.52%']
59,['2020-02'],['216481'],['-82.25%']
60,['2020-01'],['1696520'],['-16.06%']
61,['2019-12'],['2213089'],['-0.9%']
62,['2019-11'],['2056669'],['-5.37%']
63,['2019-10'],['1927669'],['-5.82%']
64,['2019-09'],['1930637'],['-6.3%']
65,['2019-08'],['1652908'],['-7.65%']
66,['2019-07'],['1527912'],['-3.88%']
67,['2019-06'],['1727910'],['-7.8%']
68,['2019-05'],['1561172'],['-17.37%']
69,['2019-04'],['1574877'],['-17.73%']
70,['2019-03'],['2019443'],['-6.88%']
71,['2019-02'],['1219497'],['-17.35%']
72,['2019-01'],['2021089'],['-17.71%']
73,['2018-12'],['2233108'],['-15.84%']
74,['2018-11'],['2173485'],['-16.06%']
75,[],[],[]
76,[],[],[]
